LINHA 1: KEYWORD(inicio)
LINHA 33: DELIMITER())
LINHA 33: DELIMITER($)
LINHA 34: DELIMITER(})
LINHA 36: KEYWORD(repita_enquanto)
LINHA 36: DELIMITER([)
LINHA 36: IDENTIFIER(contador)
LINHA 36: OPERATOR(<)
LINHA 36: DELIMITER(])
LINHA 36: DELIMITER({)
LINHA 37: IDENTIFIER(contador)
LINHA 37: ASSIGN(=)
LINHA 37: IDENTIFIER(contador)
LINHA 37: OPERATOR(+)
LINHA 37: INTEGER(1)
LINHA 37: DELIMITER($)
LINHA 38: KEYWORD(mostre)
LINHA 38: DELIMITER(()
LINHA 38: STRING(’Verificando estoque...’)
LINHA 38: DELIMITER())
LINHA 38: DELIMITER($)
LINHA 39: DELIMITER(})
LINHA 41: KEYWORD(para)
LINHA 41: IDENTIFIER(i)
LINHA 41: KEYWORD(de)
LINHA 41: INTEGER(1)
LINHA 41: KEYWORD(ate)
LINHA 41: INTEGER(3)
LINHA 41: KEYWORD(faca)
LINHA 41: DELIMITER({)
LINHA 42: KEYWORD(mostre)
LINHA 42: DELIMITER(()
LINHA 42: STRING(’Lote conferido: ’)
LINHA 42: DELIMITER())
LINHA 42: DELIMITER($)
LINHA 43: KEYWORD(mostre)
LINHA 43: DELIMITER(()
LINHA 43: IDENTIFIER(i)
LINHA 43: DELIMITER())
LINHA 43: DELIMITER($)
LINHA 44: DELIMITER(})
LINHA 46: KEYWORD(se)
LINHA 46: DELIMITER([)
LINHA 46: IDENTIFIER(estoque)
LINHA 46: OPERATOR(%)
LINHA 46: OPERATOR(==)
LINHA 46: DELIMITER(])
LINHA 46: KEYWORD(faz)
LINHA 46: DELIMITER({)
LINHA 47: KEYWORD(mostre)
LINHA 47: DELIMITER(()
LINHA 47: STRING(’Quantidade par em estoque.’)
LINHA 47: DELIMITER())
LINHA 47: DELIMITER($)
LINHA 48: DELIMITER(})
LINHA 51: KEYWORD(se)
LINHA 51: DELIMITER([)
LINHA 51: IDENTIFIER(estoque)
LINHA 51: OPERATOR(<=)
LINHA 51: IDENTIFIER(limite)
LINHA 51: OPERATOR(&&)
LINHA 51: IDENTIFIER(estoque)
LINHA 51: OPERATOR(!=)
LINHA 51: IDENTIFIER(quantidade)
LINHA 51: DELIMITER(])
LINHA 51: KEYWORD(faz)
LINHA 51: DELIMITER({)
LINHA 52: KEYWORD(mostre)
LINHA 52: DELIMITER(()
LINHA 52: STRING(’Atencao: estoque baixo.’)
LINHA 52: DELIMITER())
LINHA 52: DELIMITER($)
LINHA 53: DELIMITER(})
LINHA 54: KEYWORD(fim)
